stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
10000895,Hlíðarhjalli / Brekkuhjalli,Brekkuhjalli,64.107587,-21.879616,Brekkuhjalla,Brekkuhjalla
10000900,Smárahvammsvegur / Hlíðarsmári,Hlíðarsmári,64.097631,-21.891484,Hlíðarsmára,Hlíðarsmára
10000901,Smáralind,Smáralind,64.100015,-21.889215,Smáralind,Smáralindar
10000903,Smáralind,Smáralind,64.099989,-21.889837,Smáralind,Smáralindar
10000904,Smárahvammsvegur / Hlíðarsmári,Hlíðarsmári,64.097616,-21.891752,Hlíðarsmára,Hlíðarsmára
10000905,Versalir,Versalir,64.091631,-21.858004,Versölum,Versala
10000906,Kársnesbraut / Huldubraut,Huldubraut,64.114277,-21.914967,Huldubraut,Huldubrautar
10000907,Hvammsvegur,Hvammsvegur,64.096463,-21.858742,Hvammsvegi,Hvammsvegar
10000908,Hlíðardalsvegur / Iðalind,Iðalind,64.098855,-21.86228,Iðalind,Iðalindar
10000909,Hlíðardalsvegur / Krossalind,Krossalind,64.102217,-21.863889,Krossalind,Krossalindar
10000910,Lindarvegur,Lindarvegur,64.100794,-21.871763,Lindarvegi,Lindarvegar
10000911,Salavegur / Rjúpnasalir,Rjúpnasalir,64.090012,-21.843933,Rjúpnasölum,Rjúpnasala
10000917,Skálaheiði,Skálaheiði,64.110944,-21.873839,Skálaheiði,Skálaheiðar
10000918,Hjallakirkja,Hjallakirkja,64.109514,-21.866139,Hjallakirkju,Hjallakirkju
10000919,Hlíðarhjalli / Fífuhjalli,Fífuhjalli,64.107695,-21.860097,Fífuhjalla,Fífuhjalla
10000920,Rjúpnavegur,Rjúpnavegur,64.08675,-21.833593,Rjúpnavegi,Rjúpnavegar
10000922,Hörðuvallaskóli,Hörðuvallaskóli,64.084542,-21.825711,Hörðuvallaskóla,Hörðuvallaskóla
10000923,Hörðuvallaskóli,Hörðuvallaskóli,64.084729,-21.825878,Hörðuvallaskóla,Hörðuvallaskóla
10000925,Rjúpnavegur,Rjúpnavegur,64.086905,-21.833585,Rjúpnavegi,Rjúpnavegar
10000926,Skálaheiði,Skálaheiði,64.110981,-21.873669,Skálaheiði,Skálaheiðar
10000927,Engihjalli,Engihjalli,64.109807,-21.860418,Engihjalla,Engihjalla
