stopId,long name,short name,latitude,longitude
14001510,Breiðvangur / Norðurvangur,Breiðvangur,64.0821865276582,-21.9605395826746
14001511,Breiðvangur / Hjallabraut,Hjallabraut,64.0801475412481,-21.9618805427208
14001512,Hjallabraut / Laufvangur,Laufvangur,64.0787958013402,-21.9542269094215
14001513,Flatahraun / Sléttahraun,Sléttahraun,64.0751527046412,-21.9501453502712
14001514,Iðnskólinn,Iðnskólinn,64.0754086693502,-21.9459674360437
14001515,Kaplakriki,Kaplakriki,64.0754184548247,-21.9366760077403
14001516,Hamraberg / Víðiberg,Víðberg,64.0739942953432,-21.9325249314815
14001517,Hamraberg / Lyngberg,Lyngberg,64.0731043728111,-21.9343381222733
14001518,Hamraberg / Hnotuberg,Hnotuberg,64.0716530604132,-21.9363787447784
14001519,Hamraberg / Einiberg,Einiberg,64.0682767066701,-21.9359382877474
14001520,Lækjarskóli,Lækjarskóli,64.0670634452397,-21.9396039137936
14001521,Selvogsgata,Selvogsgata,64.0637342702802,-21.9464466460364
14001522,Öldutúnsskóli,Öldutúnsskóli,64.0625903780551,-21.9444179735072
14001523,Kaldárselsvegur / Dalsás,Dalsás,64.0579578166428,-21.9346794293192
14001524,Brekkuás,Brekkuás,64.0548128132508,-21.9303693483794
14001525,Goðatorg,Goðatorg,64.0579601587204,-21.9490913576949
14001526,Hjallabraut,Hjallabraut,64.0790850000813,-21.9499699992014
14001527,Hraunbrún,Hraunbrún,64.0747849997675,-21.9525469998853
14001528,Hellisgerði,Hellisgerði,64.0718120003772,-21.9551830008312
14001529,Vesturgata / Pakkhúsið,Pakkhúsið,64.0699460399274,-21.9601522995206
14001530,Norðurbakki,Norðurbakki,64.0699460003871,-21.9634110004326
14001531,Vesturgata,Vesturgata,64.0706820003145,-21.9652259999869
14001532,Sundhöll Hafnarfjarðar,Sundhöll Hafnarfjarðar,64.0728259997078,-21.9693670002891
14001533,Skjólvangur,Skjólvangur,64.077608000068,-21.96640899993
14001534,Hrafnista,Hrafnista,64.079140000305,-21.9717009993494
14001535,Hjallabraut / Víðivangur,Víðivangur,64.0788419997731,-21.963586999277
14001536,Hjallabraut / Miðvangur,Miðvangur,64.0792699997106,-21.9580530005707
14001537,Hjallahraun,Hjallahraun,64.0780329997711,-21.9473960003075
14001538,Mávahraun,Mávahraun,64.0748250003983,-21.9424000005742
14001539,Álfaskeið,Álfaskeið,64.0713059998989,-21.941305000096
14001540,Sólvangur,Sólvangur,64.0688389999126,-21.9396049999195
14001541,Flensborg,Flensborg,64.0643809996659,-21.9479920006587
14001542,Flensborg,Flensborg,64.0643569996749,-21.948489000424
14001543,Hlíðarbraut,Hlíðarbraut,64.0627070001253,-21.9538959998538
14001544,Suðurbæjarlaug,Suðurbæjarlaug,64.0604729995894,-21.9625419995784
14001545,Strandgata / Flensborgartorg,Flensborgartorg,64.0620540003272,-21.9616249999016
14001546,Strandgata / Fjörukráin,Fjörukráin,64.0658410001691,-21.9560419998773
14001549,Strandgata / Suðurbæjarlaug,Suðurbæjarlaug,64.0599851963669,-21.9637610925852
14001550,Suðurbraut / Smárabarð,Smárabarð,64.060131554809,-21.9666880850719
14001551,Hjallabraut / Miðvangur,Miðvangur,64.0795620002002,-21.9583589996307
14001552,Hjallabraut / Víðivangur,Víðivangur,64.0793960003799,-21.9629470006686
14001553,Skjólvangur,Skjólvangur,64.0776919999149,-21.9663530007793
14001554,Sundhöll Hafnarfjarðar,Sundhöll Hafnarfjarðar,64.0727930002568,-21.9695440007994
14001555,Vesturgata,Vesturgata,64.0706659996142,-21.9656770002449
14001556,Norðurbakki,Norðurbakki,64.0698190004156,-21.9630720000087
14001558,Suðurbraut / Hvaleyrarbraut,Hvaleyrarbraut,64.0565759532838,-21.9775612178386
14001561,Lækjargata,Lækjargata,64.0672879996218,-21.947194000382
14001562,Suðurbraut / Melabraut,Melabraut,64.058800999923,-21.9716559992191
14001563,Kaldárselsvegur,Kaldárselsvegur,64.0588170002623,-21.9399369993463
14001564,Kaldárselsvegur,Kaldárselsvegur,64.0589040004058,-21.9401890008019
14001567,Háholt / Akurholt,Akurholt,64.0556590000159,-21.97998399994
14001568,Háholt / Bæjarholt,Bæjarholt,64.0570100002032,-21.982706999815
14001569,Háholt / Hörgsholt,Hörgsholt,64.0577720000002,-21.9854199993939
14001570,Miklaholt,Miklaholt,64.0595309997867,-21.9869190006567
14001577,Fjarðarkaup,Fjarðarkaup,64.0814959995839,-21.9382110002627
14001580,Jófríðarstaðavegur,Jófríðarstaðavegur,64.0626109999174,-21.9537079997122
14001582,Álfaskeið / Mávahraun,Mávahraun,64.07479199993,-21.9421850009977
14001583,Sólvangur,Sólvangur,64.0689000002699,-21.9395110002672
14001585,Hjallahraun,Hjallahraun,64.0782189997327,-21.9476170004459
14001586,Suðurbraut / Þúfubarð,Þúfubarð,64.0587190000706,-21.9715020005666
14001587,Suðurbæjarlaug,Suðurbæjarlaug,64.0604029995506,-21.9624320006686
14001588,Hlíðarberg / 10-11,10/11/2012,64.0664050001142,-21.9358420009473
14001589,Hlíðarberg / Birkihlíð,Birkihlíð,64.0626419996022,-21.9345700005118
